Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,1911466098","-41,0986502469","-5,7082694534","8,0129205444","8,5385422121","6,6318655603","4,1889795745","8,3220908055","4,4122528491","7,1535781845","10,837976172","14,2242928485","14,7738362755","11,1616494511","14,5914558579","13,9764886401","14,5361003719","7,6514550582","-13,5457916828","2,824481883","5,3190183518","7,7353708345","3,7641296484","4,0106459332","3,6063690783","0,6461359428","8,0243970488","5,769882149","8,2086494996","-6,7040493176","6,3547444017","13,0254185173","8,7977841013"
Samoa Americana,ASM,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3767607834","0,9587046034","0,2389210129","-3,3947523793","2,6719703404","-1,8004500018","-3,257941095","1,2452642573","0,9924507457","-3,2319106405","-1,2195018398","3,2790216419","4,8544423012","0,1136443421","-5,1353398858","4,8740611245","1,831713966","6,9706882082","1,7599283326","3,4860171059",
Antigua y Barbuda,ATG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,"4,039469211","7,6118838158","7,6942886289","3,5168731369","-0,3216679124","5,0786548491","10,2426893923","8,1634138983","12,073102186","7,2208886938","5,8236636081","5,8245008879","3,5123210259","1,6854901511","-0,4450643429","3,4012340571","4,7069204651","-6,2135122831","4,4665985288","3,3682278423","2,7772236163","1,9530461462","4,4573707158","-6,00085609","-0,2553280348","4,8812806469","4,6064512594","5,2367939689","11,278524666","7,8212014923","-1,4972643305","-13,2991327606","-9,0890123691","-3,1275889904","2,2586243188","-1,5251040351","1,3649974569","0,6499803008","3,3836514766","1,8392357571","6,3613751941","2,5509014329","-19,359252065","7,5475750603","8,8809966138","3,272750734"
Australia,AUS,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"0,4636335356","-1,1480443949","4,1987382646","4,9015670186","3,9236546904","0,0677924352","4,9716356517","3,2559882967","4,8279904879","5,084898568","0,543866969","2,0176760806","1,0624137452","1,5052101075","0,0964517863","1,5653273143","2,4345224619","-0,2730978361","2,9320655513","1,7873751555","1,7384478321","1,5492592794","-3,5534155112","3,3435499796","3,8854159164","2,4726901064","1,01423834","4,0376947168","2,1349104863","2,0573923546","-1,6435710885","-0,6904366665","3,1237382101","2,9830922893","2,7326014495","2,6107978138","2,7948684913","3,6252184764","3,8849323298","2,7389442954","0,7235311567","2,8035271604","1,9117386764","3,1158934432","1,9060652376","1,3779800337","1,8967083917","1,5311118678","-0,1857731529","0,6485000683","0,9958120016","2,1199260682","0,8553014029","1,0883007815","0,7414388436","1,1862658506","0,6474952185","1,3783453533","0,6824909452","-1,556436301","1,9680616457","2,950325584","0,6032849357"
Austria,AUT,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"4,9607171835","2,0214696668","3,4714661593","5,4193360142","2,8100127856","4,9044790038","2,2410097585","3,9312418289","5,9094959264","6,7494345679","4,6469427313","5,5923815308","4,3109057812","3,7653730318","-0,099030082","4,7633698692","5,0396476132","-0,1298304877","5,5364479333","1,7313777925","-0,3986205177","1,9381215052","3,1396280799","0,057573093","2,4505656714","2,2364023549","1,2930452792","3,1497465085","3,4201017848","3,553547647","2,4139864539","0,97609224","-0,298754361","2,0087619438","2,5109126937","2,2114349327","1,9779759081","3,4678299412","3,3550446614","3,1274366501","0,8802590979","1,1526763314","0,4509465272","2,0997111689","1,5498773169","2,9434178587","3,3917308268","1,1433071189","-4,0163400421","1,5925771285","2,5764483181","0,2224505769","-0,5622989425","-0,1223706673","-0,1115401895","0,8924691396","1,5507240863","1,9277130599","1,0004069532","-7,019825952","3,7847196965","3,8089560624","-1,8119282274"
Azerbaiyán,AZE,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,0123831035","-23,7612021557","-24,2568641648","-20,7755585487","-12,8134294386","0,2802138896","4,7842823524","8,9608867629","6,4615840761","10,1910292675","9,0518220382","8,6253510657","9,3764603643","8,3015384794","26,66009477","33,0304877689","23,5906854137","8,4574501256","7,0506025195","3,8064910206","-1,1958429623","0,8166841282","4,4500200988","1,4759369408","-0,1031213649","-4,1771716801","-0,7784161262","0,6244861677","1,6358504813","-4,9527017387","5,1515000687","4,6734399524","1,4159797772"
Burundi,BDI,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"-15,8701575978","6,3652461397","1,9900958061","3,2918636808","1,135990958","2,148048239","11,0019576864","-2,614791149","-3,5323148319","18,7795490873","0,3306330869","-6,3287836051","7,1208489236","-3,1295002766","-1,6978382778","5,6418180472","8,7294538568","-3,6867375367","-0,7437610106","-3,116110978","7,7197221994","-3,4513930226","0,9891961775","-2,2388311277","9,3939957279","1,3316466527","3,1290064996","2,758384458","-0,5715506716","1,4218960696","2,9130684152","-1,5975617345","-3,069248456","-4,3669013396","-13,2959272876","-7,9646923927","-1,479610111","2,815176025","-3,3299504835","-2,8605658798","-0,4391878767","1,5685346311","-4,2745881975","1,0108820458","-2,7648804938","1,7067138389","-0,2777005172","0,6371546456","-1,327694607","0,3182218178","0,4115119597","0,824080966","1,2635993344","0,8106028013","-5,9804956121","-2,2061338298","-1,7726464864","-1,3771396219","-1,4571930329","-2,5084611685","0,3811666398","-0,8246286921","-0,007284562"
Bélgica,BEL,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"4,6302571341","4,7940345177","3,5743535408","5,9491393563","2,6244446611","2,4614624534","3,2915757418","3,7850443643","6,3282836466","6,2478455132","3,7964885702","4,8840882397","6,0474886986","4,2367774958","-2,2488296459","5,4641400191","0,5019787167","2,7459897901","2,2491275158","4,329008275","-0,2766534555","0,6223290696","0,3198122641","2,4679215625","1,6215189754","1,7864696558","2,2194781157","4,3907950098","3,093999126","2,8302679751","1,4553717259","1,1195658602","-1,3479997097","2,9093187691","2,1705502738","1,1236690183","3,5427890641","1,7443238955","3,3057065138","3,4654525713","0,7524829096","1,2519846064","0,6158797803","3,1239289184","1,7604555941","1,8781832","2,9183383488","-0,3434527181","-2,8059207403","1,9287641957","0,3800345698","0,1164025785","-0,0131483861","1,1285957247","1,4518933676","0,7552689191","1,2288662362","1,3306522272","1,6897536886","-5,7117298075","6,4887704127","2,1365440758","0,1923420451"
Benin,BEN,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"1,567326573","-4,9936766169","2,9522929905","4,7629793886","3,36090141","1,6147999728","-0,879979557","1,7850088119","0,7947710183","-0,0052561191","-3,5680234862","4,1326632756","1,4256052471","1,0261575435","-7,074781783","-1,4954134723","2,4341542654","-1,2637656758","3,8107810266","3,9535617989","6,9517786157","-0,6096934024","-7,0338402014","4,8741650901","4,4529426631","-0,788228017","-4,3865474028","0,3482824564","-5,7425036053","5,7124455942","1,0825711767","-0,14985962","1,2288834879","-1,7207245295","3,8859423914","1,6782988273","2,7024477156","0,8480000501","2,1695937331","2,689647379","2,2073649239","1,5489592476","0,3720248024","1,3165120376","-1,467813821","0,8114101568","2,9820533185","1,8496250695","-0,648436891","-0,8393558239","-0,0074281917","1,8000644925","4,1276062346","3,2905049991","-1,181684836","0,3358522481","2,6035565269","3,624262545","3,8245068777","0,9519378609","4,2387089592","3,4206794555","3,5610424752"
Burkina Faso,BFA,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"2,5522730525","4,5843538886","-2,733075016","0,7224156942","2,1185732135","-1,0898438152","7,0305702703","1,3313074599","0,2942217084","-1,5942590727","-0,2945987425","0,5933485649","-1,2927828022","6,2999803009","0,9797908145","6,2616182205","-1,9260090851","2,0440679217","1,0206122493","-1,8641248659","1,4634998813","6,598062604","-2,4436347655","-4,5700834313","5,4205097779","4,9480953917","-2,9231444187","3,0025674276","-0,5083718351","-3,1732279442","6,3481682941","-2,2055141448","0,9219740416","-1,2068200249","3,0410404952","8,2141149793","3,6227263863","4,3981361847","4,2992320069","-1,1068508281","3,4203728146","1,1931569551","4,5071633108","1,2508037242","5,2934329735","2,9866921337","1,0013026275","2,7310856339","-0,012474271","5,3051445552","3,5027065941","3,2735914957","2,6572953306","1,2639963854","0,8777856048","2,8934983269","3,2032568361","3,6935133276","3,0644536045","-0,6955339868","4,1420956598","-0,7945198732","0,4019578576"
